check_name,comment,country,area,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
check_zero_vert_open_valid_ta_o,Check in case of valid records if vertical_opening is zero,ESP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0
check_zero_vert_open_valid_ta_o,Check in case of valid records if vertical_opening is zero,ESP,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0
check_zero_vert_open_valid_ta_o,Check in case of valid records if vertical_opening is zero,FRA,7,2,0,0,2,1,2,3,4,1,1,66,1,0,4,1,0,13,0,0
check_zero_vert_open_valid_ta_o,Check in case of valid records if vertical_opening is zero,FRA,8,3,1,0,0,1,0,0,0,0,0,24,0,0,0,0,0,1,0,0
check_zero_vert_open_valid_ta_o,Check in case of valid records if vertical_opening is zero,ITA,16,0,0,0,0,0,0,0,0,0,65,65,108,114,120,120,120,120,120,0
check_zero_warp_diam_valid_ta_o,Check in case of valid records if warp_diameter is zero,ITA,17,0,0,0,0,0,0,0,0,180,181,181,182,179,182,182,183,182,182,0
check_zero_wing_ope_valid_ta_o,Check in case of valid records if wing_opening is zero,ESP,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
check_zero_wing_ope_valid_ta_o,Check in case of valid records if wing_opening is zero,ESP,6,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
rome_bridles_len_mean_depth_ta_o,Check if the value of bridles length is consistent according to the mean depth,CYP,25,0,0,0,0,0,0,0,0,0,0,0,4,25,25,27,27,27,26,26
rome_bridles_len_mean_depth_ta_o,Check if the value of bridles length is consistent according to the mean depth,ESP,1,8,9,12,10,12,12,12,13,13,15,13,11,19,13,9,9,6,7,0
rome_bridles_len_mean_depth_ta_o,Check if the value of bridles length is consistent according to the mean depth,ESP,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
rome_bridles_len_mean_depth_ta_o,Check if the value of bridles length is consistent according to the mean depth,ESP,5,0,2,2,1,2,2,0,2,2,0,2,2,0,11,45,11,8,10,0
