check_name,comment,country,area,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
check_zero_vert_open_valid_ta_o,Check in case of valid records if vertical_opening is zero,ESP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
rome_bridles_len_mean_depth_ta_o,Check if the value of bridles length is consistent according to the mean depth,CYP,25,0,0,0,0,0,0,0,0,0,0,0,0,14,18,27,27,27,26,26,4,0
rome_bridles_len_mean_depth_ta_o,Check if the value of bridles length is consistent according to the mean depth,ESP,1,8,9,12,10,12,12,12,13,13,15,13,11,19,13,9,9,6,7,7,10,13
rome_bridles_len_mean_depth_ta_o,Check if the value of bridles length is consistent according to the mean depth,ESP,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
rome_bridles_len_mean_depth_ta_o,Check if the value of bridles length is consistent according to the mean depth,ESP,5,0,2,2,1,2,2,0,2,2,0,2,2,0,14,45,11,8,10,8,7,13
rome_bridles_len_mean_depth_ta_o,Check if the value of bridles length is consistent according to the mean depth,ESP,6,7,11,11,8,4,10,7,8,7,11,11,8,12,9,8,9,7,7,8,8,9
rome_bridles_len_mean_depth_ta_o,Check if the value of bridles length is consistent according to the mean depth,FRA,7,2,4,0,5,4,4,5,4,2,4,4,4,3,4,1,4,5,5,5,4,6
rome_bridles_len_mean_depth_ta_o,Check if the value of bridles length is consistent according to the mean depth,FRA,8,0,5,4,4,4,5,4,5,0,4,5,5,4,5,4,3,4,4,3,3,3
rome_bridles_len_mean_depth_ta_o,Check if the value of bridles length is consistent according to the mean depth,GRC,20,5,5,4,3,5,5,5,4,0,5,3,5,4,0,6,0,0,0,0,0,6
rome_bridles_len_mean_depth_ta_o,Check if the value of bridles length is consistent according to the mean depth,GRC,22,46,47,21,18,20,19,18,17,0,17,67,67,67,0,67,0,0,0,0,7,17
rome_bridles_len_mean_depth_ta_o,Check if the value of bridles length is consistent according to the mean depth,ITA,10,28,0,1,1,0,1,0,0,0,0,0,0,0,1,2,1,0,23,0,23,23
